"State","year","vals"
"Georgia","1931",15.37035465
"Hawaii","1931",NA
"Idaho","1931",9.017015457
"Illinois","1931",15.21817112
"Indiana","1931",12.8921299
"Iowa","1931",12.32713795
"Kansas","1931",11.50886822
"Kentucky","1931",14.50573349
"Louisiana","1931",14.16298103
"Maine","1931",16.09262657
"Maryland","1931",16.72338867
"Massachusetts","1931",14.93559265
"Michigan","1931",14.73460102
"Minnesota","1931",14.25490475
"Mississippi","1931",12.20513725
"Missouri","1931",15.02352524
"Montana","1931",12.69108677
"Nebraska","1931",12.48130512
"Nevada","1931",14.40797234
"New Hampshire","1931",13.46534348
"New Jersey","1931",14.56760502
"New Mexico","1931",13.37694645
"New York","1931",17.38006401
"North Carolina","1931",13.93698215
"North Dakota","1931",13.60109329
"Ohio","1931",13.67976856
"Oklahoma","1931",13.33285999
"Oregon","1931",11.20137882
"Pennsylvania","1931",15.22903919
"Rhode Island","1931",16.56752205
"South Carolina","1931",12.42615795
"South Dakota","1931",13.7099905
"Tennessee","1931",15.31469154
"Texas","1931",14.25373363
"Utah","1931",12.47408772
"Vermont","1931",12.75342274
"Virginia","1931",12.47986698
"Washington","1931",11.18797112
"West Virginia","1931",11.6478548
"Wisconsin","1931",12.17973518
"Wyoming","1931",9.822147369
"Alabama","1932",15.12842083
"Alaska","1932",NA
"Arizona","1932",11.25609303
"Arkansas","1932",12.78616333
"California","1932",13.11362457
"Colorado","1932",14.48404598
"Connecticut","1932",15.72991276
"Delaware","1932",29.41201401
"District of Columbia","1932",11.15511036
"Florida","1932",15.37528515
"Georgia","1932",15.89936256
"Hawaii","1932",NA
"Idaho","1932",9.267725945
"Illinois","1932",14.54169369
"Indiana","1932",13.15873241
"Iowa","1932",11.65371037
"Kansas","1932",12.83202839
"Kentucky","1932",15.53458214
"Louisiana","1932",14.23073959
"Maine","1932",15.09820557
"Maryland","1932",16.05205154
"Massachusetts","1932",14.59114361
"Michigan","1932",12.68439674
"Minnesota","1932",13.1169796
"Mississippi","1932",13.07473469
"Missouri","1932",15.47779179
"Montana","1932",11.36449146
"Nebraska","1932",12.08250237
"Nevada","1932",10.81421661
"New Hampshire","1932",13.60403919
"New Jersey","1932",14.59207439
"New Mexico","1932",13.84286022
"New York","1932",18.26439476
"North Carolina","1932",15.07911968
"North Dakota","1932",11.41377354
"Ohio","1932",14.17052269
"Oklahoma","1932",14.5027523
"Oregon","1932",10.7511549
"Pennsylvania","1932",15.10497952
"Rhode Island","1932",16.64911079
"South Carolina","1932",13.08250809
"South Dakota","1932",12.30113983
"Tennessee","1932",15.99130726
"Texas","1932",13.70388126
"Utah","1932",11.71714973
"Vermont","1932",12.88512421
"Virginia","1932",12.97523785
"Washington","1932",10.40291786
"West Virginia","1932",12.74299812
"Wisconsin","1932",11.20571232
"Wyoming","1932",9.682941437
"Alabama","1933",14.81413746
"Alaska","1933",NA
"Arizona","1933",10.95103168
"Arkansas","1933",14.06285095
"California","1933",13.59761524
"Colorado","1933",13.88170147
"Connecticut","1933",16.17339706
"Delaware","1933",30.1815815
"District of Columbia","1933",11.70526028
"Florida","1933",16.34342003
"Georgia","1933",15.62635231
"Hawaii","1933",NA
"Idaho","1933",11.48139954
"Illinois","1933",16.62522507
"Indiana","1933",13.54263401
"Iowa","1933",12.7510252
"Kansas","1933",12.75609779
"Kentucky","1933",16.08747673
"Louisiana","1933",14.01687336
"Maine","1933",13.87369919
"Maryland","1933",17.07096672
"Massachusetts","1933",15.79974174
"Michigan","1933",12.7003746
"Minnesota","1933",14.84932327
"Mississippi","1933",13.43822289
"Missouri","1933",15.99396896
"Montana","1933",12.1600256
"Nebraska","1933",13.54272842
"Nevada","1933",12.05532932
"New Hampshire","1933",13.65933895
"New Jersey","1933",15.74511909
"New Mexico","1933",12.95279884
"New York","1933",20.60983658
"North Carolina","1933",14.5206852
"North Dakota","1933",13.45497799
"Ohio","1933",13.87638092
"Oklahoma","1933",15.15526104
"Oregon","1933",11.42053413
"Pennsylvania","1933",15.70426464
"Rhode Island","1933",15.91782856
"South Carolina","1933",12.62025166
"South Dakota","1933",17.56120491
"Tennessee","1933",15.62446976
"Texas","1933",15.03235626
"Utah","1933",11.89728546
"Vermont","1933",12.16721535
"Virginia","1933",12.75569534
"Washington","1933",11.03306293
"West Virginia","1933",12.52695942
"Wisconsin","1933",11.51719284
"Wyoming","1933",11.24081135
"Alabama","1934",14.21224022
"Alaska","1934",NA
"Arizona","1934",11.86770439
"Arkansas","1934",14.98555279
"California","1934",14.84755516
"Colorado","1934",17.01503944
"Connecticut","1934",15.91551495
"Delaware","1934",33.41150665
"District of Columbia","1934",12.22322941
"Florida","1934",18.02761078
"Georgia","1934",16.26163292
"Hawaii","1934",NA
"Idaho","1934",8.869169235
"Illinois","1934",16.16141319
"Indiana","1934",13.69190025
"Iowa","1934",14.36154652
"Kansas","1934",14.03830814
"Kentucky","1934",16.83686447
"Louisiana","1934",14.81449986
"Maine","1934",14.06638622
"Maryland","1934",17.12718773
"Massachusetts","1934",15.48460865
"Michigan","1934",13.40550232
"Minnesota","1934",15.26137543
"Mississippi","1934",13.47550678
"Missouri","1934",17.0292778
"Montana","1934",12.98471928
"Nebraska","1934",17.00161362
"Nevada","1934",14.13851166
"New Hampshire","1934",13.78344536
"New Jersey","1934",15.79893684
"New Mexico","1934",13.87510395
"New York","1934",19.14931107
"North Carolina","1934",14.8403492
"North Dakota","1934",14.8199892
"Ohio","1934",14.26983166
"Oklahoma","1934",16.87449074
"Oregon","1934",11.57885647
"Pennsylvania","1934",15.30268478
"Rhode Island","1934",16.87235641
"South Carolina","1934",12.8637991
"South Dakota","1934",14.92767525
"Tennessee","1934",16.08553505
"Texas","1934",16.2538147
"Utah","1934",13.64537907
"Vermont","1934",12.50552654
